编号 病种分类 病证名 中医症状 中医证型 状态要素 中药 经方
85 P脾胃系病证 便秘 大便干硬,发热,心烦 阳明热结缓证 燥屎,胃,热,心 大黄,芒硝,炙甘草 调胃承气汤
86 P脾胃系病证 便秘 大便干硬,口干,舌燥,肌肤枯燥不荣 热结津亏证 燥屎,肠,津亏,燥,热 食蜜 蜜煎导
87 P脾胃系病证 便秘 大便干硬,小便多,脉浮涩 脾约证 燥屎,热,胃,脾,膀胱,阴虚,津亏,肠 麻仁,芍药,枳实,大黄,厚朴,杏仁 麻子仁丸
88 P脾胃系病证 腹痛 腹痛,心烦,寸脉浮,关脉沉 结胸证 饮,热,心神,少腹 大黄,芒硝,甘遂 大陷胸汤
89 P脾胃系病证 腹痛 腹痛,手足冷,腹胀 冷结膀胱关元证 寒,少腹,膀胱 炮附子,茯苓,人参,白术,芍药 附子汤
90 P脾胃系病证 腹痛 腹痛,腹胀,脉浮滑 胃脘痰热证 痰,热,胃,少腹 黄连,半夏,瓜蒌实 小陷胸汤
91 P脾胃系病证 腹痛 腹痛,心烦,气短,无汗 太阳病证兼阳明病证 外风,寒,心,少腹 桂枝,芍药,生姜,炙甘草,麻黄,大枣,杏仁 桂枝麻黄各半汤
92 P脾胃系病证 腹痛 腹痛,泄泻,小便不利,大便脓血 少阴阳虚便血证 脾,肾,肠,膀胱,阳虚,气虚,动血 赤石脂,干姜,粳米 桃花汤
93 P脾胃系病证 腹痛 腹痛,身重,身痛,小便不利 少阴阳虚水气证 少腹,膀胱,肾,阳虚,湿,饮,寒 茯苓,芍药,生姜,白术,炮附子 真武汤
94 P脾胃系病证 腹痛 腹痛,泄泻,面红,手足冷,脉微 少阴阳虚格阳证 少腹,肾,阳虚,阳浮 炙甘草,干姜,附子 通脉四逆汤
95 P脾胃系病证 腹痛 腹痛,肉上粟起,口不渴 寒实结胸证 少腹,寒,饮,湿,热,肌肤 桔梗,巴豆,贝母 三物小白散
96 P脾胃系病证 腹痛 腹痛,手足冷 肝气郁滞证 少腹,寒,阳郁 柴胡,枳实,芍药,炙甘草 四逆散
97 P脾胃系病证 腹痛 腹痛,泄泻,肠鸣 肝寒泄泻证 少腹,胃,肠,肝,阳虚,寒 吴茱萸,人参,生姜,大枣 吴茱萸汤
98 P脾胃系病证 腹痛 腹痛,呕吐,泄泻 寒湿霍乱证 气滞,寒,湿,胃,肠 人参,干姜,炙甘草,白术 理中丸
99 P脾胃系病证 腹痛 腹痛,心悸,心烦,手足热 气血虚证 脾,心神,阳虚,气虚,血虚 桂枝,炙甘草,芍药,生姜,大枣,胶饴 小建中汤
100 P脾胃系病证 腹痛 腹痛,呕吐,身热 胃热脾寒证 胃,热,脾,肠,寒 黄连,炙甘草,干姜,桂枝,人参,半夏,大枣 黄连汤
101 P脾胃系病证 腹痛 腹痛,干呕,肠鸣,泄泻 中虚湿热痞兼食滞水气证 胃,气虚,湿,热,饮,食积 生姜,炙甘草,人参,干姜,黄芩,半夏,黄连,大枣 生姜泻心汤
102 P脾胃系病证 腹痛 腹痛,腹胀,肠鸣,干呕,心烦 中虚湿热痞重证 胃,心,气虚,气逆,湿,热 炙甘草,黄芩,半夏,大枣,黄连,干姜,人参 甘草泻心汤
103 P脾胃系病证 腹胀 腹胀,心烦,身热,起卧不安 热扰胸腹证 热,胸膈,胃 栀子,厚朴,枳实 栀子厚朴汤
104 P脾胃系病证 腹胀 腹胀,身重,汗出,手足冷,谵语,语言不利 阳明热盛证 胃,热,湿 知母,石膏,甘草,粳米 白虎汤
105 P脾胃系病证 腹胀 腹胀,心烦,头晕,目眩,小便不利,脉迟 虚寒谷疸证 少腹,寒,心神,膀胱 人参,干姜,炙甘草,白术 理中丸
106 P脾胃系病证 腹胀 腹胀,气短,身重,潮热 阳明热结重证 热,湿,燥屎,胃,肠 大黄,厚朴,枳实,芒硝 大承气汤
107 P脾胃系病证 腹胀 腹胀,呕吐,泄泻 寒湿霍乱证 气滞,寒,湿,胃,肠 人参,干姜,炙甘草,白术 理中丸
