编号 病种分类 病证名 中医症状 中医证型 状态要素
225 Z内科杂病 寒证 手足冷,身痛,骨节疼痛,脉沉 肾虚寒湿体痛证 心,肾,阳虚,寒,湿
226 Z内科杂病 寒证 手足冷,心烦,泄泻,脉微 阴盛阳绝证 亡阳,气脱
227 Z内科杂病 寒证 手足冷,心烦,饥不欲食 痰阻胸膈证 痰,食积,胸膈,脾,肾,阳虚,饮
228 Z内科杂病 寒证 手足冷,脉绝 阳气暴脱证 亡阳
229 Z内科杂病 寒证 手足冷,汗出,发热,四肢屈伸不利,呕吐,泄泻 阳虚霍乱证 阳虚
230 Z内科杂病 寒证 手足冷,面红,脉微 阳虚格阳证 肾,阳虚,阳浮
231 Z内科杂病 寒证 手足冷,呕吐,泄泻,心烦,怕冷,手足蜷卧 阴盛无阳证 心,肾,亡阳
232 Z内科杂病 寒证 手足冷,脉细欲绝 肝寒血虚证 肝,血虚,寒
233 Z内科杂病 寒证 手足冷,身重,汗出,谵语,语言不利 阳明热盛证 胃,热,寒
234 Z内科杂病 寒证 手足冷,腹痛,咳嗽,心悸,小便不利,泄泻 肝气郁滞证 寒,阳郁,肝,气滞
235 Z内科杂病 汗证 盗汗,发热,怕冷,口渴 太阳温病证 外风,热,表,胸膈,肝,胆,湿
236 Z内科杂病 汗证 盗汗,头汗出,饥不欲食 阳明热郁证 热,气滞,食积
